GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,area_sq_km,population_total,population_nonwhite_free,population_nonwhite_free_female,population_nonwhite_free_male,population_nonwhite_slave,population_nonwhite_slave_female,population_nonwhite_slave_male,population_urban_over_2500,population_urban_over_25000,population_white_free,population_white_free_female,population_white_free_male,nativity_born_out_of_country,nativity_born_out_of_state,farms_land_improved,farms_land_unimproved,farms_total,farms_value_farms,farms_value_tools,livestock_horses,livestock_milk_cows,livestock_mules,livestock_other_cattle,livestock_oxen,livestock_pigs,livestock_sheep,crops_barley,crops_beeswax_honey,crops_buckwheat,crops_butter,crops_cane_molasses,crops_cane_sugar,crops_cheese,crops_clover_seed,crops_dew_hemp,crops_flax,crops_flaxseed,crops_ginned_cotton,crops_grass_seed,crops_hay,crops_hops,crops_indian_corn,crops_irish_potatoes,crops_maple_molasses,crops_maple_sugar,crops_oats,crops_peas_beans,crops_rice,crops_rye,crops_silk_cocoon,crops_sweet_potatoes,crops_tobacco,crops_water_hemp,crops_wheat,crops_wine,crops_wool,learning_academies_other,learning_colleges,learning_public_schools,learning_pupils_academies_other,learning_pupils_colleges,learning_pupils_public_schools,learning_teachers_academies_others,learning_teachers_college,learning_teachers_public_schools,students_foreign_born,students_free_colored,students_free_colored_female,students_free_colored_male,students_free_white,students_free_white_female,students_free_white_male,students_native,churches_baptist,churches_christian,churches_moravian,churches_congregational,churches_dutch_reformed,churches_episcopal,churches_free,churches_german_reformed,churches_jewish,churches_lutheran,churches_mennonite,churches_methodist,churches_minor_sects,churches_presbyterian,churches_protestant,churches_quakers,churches_roman_catholic,churches_swedenborgian,churches_tunker,churches_union,churches_unitarian,churches_universalist,births_free,births_slave,births_total,marriages_total,deaths_free,deaths_slave,sex_female,sex_male,age_00_to_01,age_01_to_04,age_05_to_09,age_10_to_14,age_15_to_19,age_20_to_29,age_30_to_39,age_40_to_49,age_50_to_59,age_60_to_69,age_70_to_79,age_80_to_89,age_90_to_99,age_over_100,age_unknown,sexage_female_00_to_01,sexage_female_01_to_04,sexage_female_05_to_09,sexage_female_10_to_14,sexage_female_15_to_19,sexage_female_20_to_29,sexage_female_30_to_39,sexage_female_40_to_49,sexage_female_50_to_59,sexage_female_60_to_69,sexage_female_70_to_79,sexage_female_80_to_89,sexage_female_90_to_99,sexage_female_over_100,sexage_female_unknown,sexage_male_00_to_01,sexage_male_01_to_04,sexage_male_05_to_09,sexage_male_10_to_14,sexage_male_15_to_19,sexage_male_20_to_29,sexage_male_30_to_39,sexage_male_40_to_49,sexage_male_50_to_59,sexage_male_60_to_69,sexage_male_70_to_79,sexage_male_80_to_89,sexage_male_90_to_99,sexage_male_over_100,sexage_male_unknown,dwellings_total,transport_rail,transport_water
G1901110,1850,Iowa,190,Lee,1110,Lee,1395.5501108281,18861,52,30,22,0,0,0,0,0,18809,8920,9889,2287,11458,87186,148328,1350,1622030,92063,3216,4202,118,6695,1904,25059,13095,2727,9554,4895,232225,0,0,14907,123,0,1122,146,0,775,2601,74,754138,13810,61,3440,165237,758,0,3317,240,359,500,0,149414,0,29885,7,1,38,226,2308,9,42,2,40,208,0,0,0,4042,1925,2117,3834,3,1,0,1,NA,1,NA,0,NA,1,NA,5,0,4,NA,0,3,NA,NA,0,NA,0,NA,NA,522,242,NA,NA,8950,9911,522,2512,2857,2528,1999,3397,2427,1435,789,302,68,20,4,1,0,272,1265,1413,1207,1002,1617,1071,600,327,132,32,9,2,1,0,250,1247,1444,1321,997,1780,1356,835,462,170,36,11,2,0,0,3252,0,1
G1901130,1850,Iowa,190,Linn,1130,Linn,1876.45927288941,5444,3,1,2,0,0,0,0,0,5441,2529,2912,250,3877,37216,74549,526,723398,42350,1638,1708,6,1915,641,11960,5138,90,15912,1066,69519,0,0,7795,0,0,1117,8,0,27,6144,0,306390,11206,0,4375,37157,80,0,30,0,12,0,0,85633,0,13881,5,0,38,80,612,5,40,0,0,21,1,0,1,2070,896,1174,2050,4,2,2,2,NA,1,NA,0,NA,0,NA,17,0,10,NA,0,0,NA,NA,0,NA,0,NA,NA,245,40,NA,NA,2530,2914,245,811,896,672,543,980,665,328,197,78,29,0,0,0,0,113,386,423,304,259,474,299,143,80,37,12,0,0,0,0,132,425,473,368,284,506,366,185,117,41,17,0,0,0,0,991,0,0
G1901150,1850,Iowa,190,Louisa,1150,Louisa,1081.36768861706,4939,16,9,7,0,0,0,0,0,4923,2306,2617,251,3430,29490,51098,388,475535,31031,1092,1418,8,2458,587,9519,3918,251,16831,1188,89642,0,0,3479,4,0,395,63,0,38,873,12,379449,3023,22,1360,39056,53,0,1115,0,230,0,0,49713,0,11681,0,0,26,0,674,0,27,0,0,18,2,0,2,1200,559,641,1184,0,0,0,1,NA,0,NA,0,NA,0,NA,3,0,3,NA,0,0,NA,NA,0,NA,0,NA,NA,228,77,NA,NA,2315,2624,228,696,756,638,552,843,605,334,184,73,22,8,0,0,0,108,338,360,311,260,404,267,144,68,39,11,5,0,0,0,120,358,396,327,292,439,338,190,116,34,11,3,0,0,0,842,0,1
G1901170,1850,Iowa,190,Lucas,1170,Lucas,1125.12645696982,471,0,0,0,0,0,0,0,0,471,213,258,8,415,1079,5750,32,19405,3300,63,66,3,133,88,568,214,0,125,32,2771,0,0,10,0,0,0,0,0,0,100,0,11925,151,0,0,300,16,0,0,0,0,200,0,505,0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,8,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,14,4,NA,NA,213,258,14,69,71,62,45,99,54,26,24,5,0,1,1,0,0,5,31,34,25,25,43,28,8,12,2,0,0,0,0,0,9,38,37,37,20,56,26,18,12,3,0,1,1,0,0,92,0,0
G1901210,1850,Iowa,190,Madison,1210,Madison,1455.98343664366,1179,0,0,0,0,0,0,0,0,1179,559,620,6,1034,1980,11919,53,41550,3358,129,138,30,150,144,1638,584,0,2251,257,6005,0,0,0,0,0,117,0,0,0,211,0,26250,726,273,7855,387,0,0,0,0,0,0,0,842,0,1410,1,0,2,25,56,1,2,0,0,0,0,0,0,64,29,35,64,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,60,20,NA,NA,559,620,60,157,204,182,136,206,112,77,35,8,2,0,0,0,0,37,72,107,87,61,101,40,37,13,4,0,0,0,0,0,23,85,97,95,75,105,72,40,22,4,2,0,0,0,0,180,0,0
G1901230,1850,Iowa,190,Mahaska,1230,Mahaska,1485.1028408382,5989,1,1,0,0,0,0,0,0,5988,2834,3154,103,4754,25046,74512,480,580693,36694,1299,1203,47,2298,676,12697,6150,140,6964,549,40526,0,0,965,97,0,15,17,0,34,1170,0,341150,6252,0,0,30240,110,0,586,0,80,0,0,40092,0,12006,0,0,21,0,805,0,21,0,0,0,0,0,0,1144,532,612,1144,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,1,NA,0,0,NA,NA,0,NA,0,NA,NA,196,11,NA,NA,2835,3154,196,938,1021,833,644,969,691,412,180,76,22,5,2,0,0,95,460,467,420,327,454,312,182,73,33,9,3,0,0,0,101,478,554,413,317,515,379,230,107,43,13,2,2,0,0,981,0,0
G1901250,1850,Iowa,190,Marion,1250,Marion,1477.59575994918,5482,29,14,15,0,0,0,0,0,5453,2593,2860,1003,3541,13619,59942,342,300134,20975,774,1003,4,1505,627,11296,2748,379,16089,1621,39381,0,0,15202,0,0,1124,26,0,0,1780,10,219565,8484,3,80,12850,32,0,153,0,78,1982,0,17094,0,6064,8,0,23,240,792,8,24,0,0,104,2,1,1,745,339,406,643,0,1,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,250,62,NA,NA,2607,2875,250,760,908,710,548,915,696,398,195,80,16,3,1,0,2,137,359,452,344,282,440,285,177,79,38,11,2,1,0,0,113,401,456,366,266,475,411,221,116,42,5,1,0,0,2,930,0,0
G1901270,1850,Iowa,190,Marshall,1270,Marshall,1484.57461470429,338,0,0,0,0,0,0,0,0,338,164,174,0,274,953,2420,34,15595,2657,65,109,0,87,97,1146,291,0,480,38,4230,0,0,0,0,0,300,0,0,0,185,0,12410,319,5,990,210,52,0,0,0,0,30,0,213,0,601,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,12,2,NA,NA,164,174,12,53,57,44,39,57,31,24,15,2,2,2,0,0,0,9,25,26,22,21,30,13,11,5,0,2,0,0,0,0,3,28,31,22,18,27,18,13,10,2,0,2,0,0,0,62,0,0
G1901350,1850,Iowa,190,Monroe,1350,Monroe,1124.84922695589,2884,0,0,0,0,0,0,0,0,2884,1382,1502,61,2374,13399,43066,337,261011,26470,661,784,9,1011,587,5925,2855,75,8833,192,53634,0,0,1575,13,0,4295,34,0,10,236,5,200463,2554,0,0,20640,73,0,68,0,30,0,0,17792,0,7394,0,0,13,0,296,0,16,0,0,0,0,0,0,382,180,202,382,0,0,0,0,NA,0,NA,0,NA,0,NA,1,0,1,NA,0,0,NA,NA,0,NA,0,NA,NA,30,52,NA,NA,1382,1502,30,492,506,363,306,538,304,174,107,48,12,3,1,0,0,21,242,244,183,156,261,118,88,45,19,4,0,1,0,0,9,250,262,180,150,277,186,86,62,29,8,3,0,0,0,515,0,0
G1901390,1850,Iowa,190,Muscatine,1390,Muscatine,1163.23941085104,5731,69,33,36,0,0,0,2540,0,5662,2630,3032,868,3862,25201,49388,460,551135,44913,1419,1773,13,3197,533,10226,3215,2975,2111,3129,35945,0,0,3840,0,0,2090,0,0,65,5433,0,341465,13589,0,0,41675,296,0,940,0,90,300,0,68246,0,7078,0,0,25,0,590,0,34,0,0,80,5,0,5,1192,526,666,1117,1,0,1,1,NA,1,NA,0,NA,1,NA,2,0,1,NA,0,1,NA,NA,0,NA,0,NA,NA,85,35,NA,NA,2663,3068,85,789,830,728,641,1038,802,462,249,84,19,4,0,0,0,48,393,402,354,295,490,333,201,106,37,3,1,0,0,0,37,396,428,374,346,548,469,261,143,47,16,3,0,0,0,999,0,1
G1901450,1850,Iowa,190,Page,1450,Page,1386.85462581146,551,0,0,0,0,0,0,0,0,551,261,290,3,467,1864,0,61,17240,3265,149,203,10,528,140,1958,960,0,4252,0,6861,0,0,0,0,0,0,0,0,0,197,0,28270,593,0,0,1936,0,0,0,0,0,0,0,1998,0,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,74,33,41,74,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,27,10,NA,NA,261,290,27,105,91,67,57,91,60,31,12,9,0,1,0,0,0,13,48,50,27,29,46,26,10,6,5,0,1,0,0,0,14,57,41,40,28,45,34,21,6,4,0,0,0,0,0,94,0,0
G1901530,1850,Iowa,190,Polk,1530,Polk,3386.43791832184,4513,0,0,0,0,0,0,0,0,4513,2083,2430,114,3774,15958,60223,321,399476,30016,775,872,9,1309,625,7637,3442,0,19717,1888,41058,0,0,1293,0,0,5067,64,0,36,2091,68,211677,7131,527,11173,11139,176,0,135,0,383,0,0,13455,0,9054,0,0,16,0,346,0,16,0,0,0,0,0,0,542,236,306,542,0,0,0,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,152,54,NA,NA,2083,2430,152,695,764,588,486,827,532,251,148,62,6,2,0,0,0,75,329,369,266,247,370,222,111,62,25,6,1,0,0,0,77,366,395,322,239,457,310,140,86,37,0,1,0,0,0,756,0,0
G1901550,1850,Iowa,190,Pottawattamie,1550,Pottawattamie,11351.3711195174,7828,0,0,0,0,0,0,0,0,7828,3895,3933,1522,5089,2835,0,82,20450,4910,108,276,0,469,187,795,313,0,3010,511,8940,0,0,1220,0,0,0,0,0,0,0,0,31955,938,0,0,350,50,0,10,0,0,0,0,9117,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,983,502,481,983,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,232,111,NA,NA,3895,3933,232,1152,1160,1075,874,1151,981,667,332,154,39,3,2,0,6,100,582,588,495,445,629,501,305,153,72,21,2,0,0,2,132,570,572,580,429,522,480,362,179,82,18,1,2,0,4,1475,NA,NA
G1901570,1850,Iowa,190,Poweshiek,1570,Poweshiek,1517.91234040311,615,0,0,0,0,0,0,0,0,615,299,316,4,523,2906,12120,71,59627,5827,183,187,0,175,146,1706,476,20,2575,119,6902,0,0,170,0,0,340,3,0,0,595,0,26455,448,0,50,1845,20,0,30,0,0,20,0,3011,0,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,8,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,28,4,NA,NA,299,316,28,93,100,73,71,106,56,53,24,8,3,0,0,0,0,12,49,40,36,43,52,24,26,9,6,2,0,0,0,0,16,44,60,37,28,54,32,27,15,2,1,0,0,0,0,102,0,0
G1901630,1850,Iowa,190,Scott,1630,Scott,1212.66024253966,5986,14,4,10,0,0,0,0,0,5972,2813,3159,1520,3167,19993,50404,384,524983,38717,1003,1319,6,1795,523,5183,2621,3734,3264,1495,84494,0,0,4085,0,0,0,0,0,23,6034,0,153915,12948,0,0,26341,0,0,0,0,89,0,0,120034,0,7365,2,1,40,75,2041,4,40,2,60,48,0,0,0,963,474,489,915,3,0,0,1,NA,1,NA,0,NA,0,NA,3,0,2,NA,0,1,NA,NA,0,NA,0,NA,NA,171,73,NA,NA,2817,3169,171,806,917,738,602,1030,831,490,259,102,34,4,0,0,2,84,408,465,364,296,463,351,211,110,42,22,1,0,0,0,87,398,452,374,306,567,480,279,149,60,12,3,0,0,2,991,0,1
G1901710,1850,Iowa,190,Tama,1710,Tama,1870.17736918717,8,0,0,0,0,0,0,0,0,8,3,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,3,5,0,1,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
G1901730,1850,Iowa,190,Taylor,1730,Taylor,1384.75199083578,204,0,0,0,0,0,0,0,0,204,98,106,1,147,631,0,27,4535,672,36,78,1,166,41,644,364,0,2122,0,4215,0,0,0,0,0,0,0,0,0,97,0,10100,5,0,0,785,0,0,0,0,50,0,0,437,0,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,12,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,6,2,NA,NA,98,106,6,42,33,21,24,33,25,10,6,2,1,0,1,0,0,3,21,16,10,13,15,10,6,3,0,0,0,1,0,0,3,21,17,11,11,18,15,4,3,2,1,0,0,0,0,38,0,0
G1901770,1850,Iowa,190,Van Buren,1770,Van Buren,1270.44647720814,12270,5,3,2,0,0,0,0,0,12265,5978,6287,555,9227,60185,128682,998,1402620,78672,2752,3315,91,4868,1090,19506,16765,2128,32897,9972,173097,0,0,13350,18,0,5558,187,0,176,4168,7,595082,5392,366,4008,166608,0,0,5513,6,888,0,0,88591,10,40858,0,0,100,0,2000,0,100,0,0,6,0,0,0,2519,1214,1305,2513,0,0,0,2,NA,0,NA,0,NA,0,NA,5,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,362,115,NA,NA,5981,6289,362,1794,2069,1737,1293,1867,1483,905,451,222,73,13,1,0,0,186,877,989,845,645,993,697,419,202,100,24,3,1,0,0,176,917,1080,892,648,874,786,486,249,122,49,10,0,0,0,2069,0,0
G1901790,1850,Iowa,190,Wapello,1790,Wapello,1129.28928915096,8471,5,2,3,0,0,0,0,0,8466,4073,4393,216,6746,43513,98699,828,782337,59052,2689,1958,28,2680,972,20258,9486,140,22064,1973,114268,0,0,3480,8,0,4214,488,0,152,1245,14,589395,5765,14,350,72405,179,0,897,0,473,0,0,53169,0,24388,0,0,46,0,1567,0,46,0,0,14,0,0,0,1655,784,871,1641,0,0,0,1,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,1,NA,NA,0,NA,0,NA,NA,289,102,NA,NA,4075,4396,289,1254,1443,1162,903,1404,1065,494,302,114,35,4,2,0,0,139,597,712,556,490,705,461,217,132,50,15,1,0,0,0,150,657,731,606,413,699,604,277,170,64,20,3,2,0,0,1416,0,0
G1901810,1850,Iowa,190,Warren,1810,Warren,1116.34135135246,961,0,0,0,0,0,0,0,0,961,456,505,4,832,1815,11684,47,46300,3246,105,147,1,208,135,1335,196,0,2435,269,5530,0,0,100,0,0,796,0,0,0,300,0,23920,98,12,130,540,0,0,0,0,365,0,0,633,0,1242,0,0,2,0,115,0,2,0,0,0,0,0,0,26,13,13,26,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,41,16,NA,NA,456,505,41,140,174,100,103,187,105,61,31,12,6,0,1,0,0,17,66,89,44,55,84,49,28,16,6,2,0,0,0,0,24,74,85,56,48,103,56,33,15,6,4,0,1,0,0,152,0,0
G1901830,1850,Iowa,190,Washington,1830,Washington,1478.57512271923,4957,0,0,0,0,0,0,0,0,4957,2390,2567,191,3939,24871,59260,428,473777,31577,1199,1628,10,2253,664,11516,5190,0,361,427,28889,0,0,30470,8,0,0,0,0,4,530,0,277205,4157,0,0,37654,87,0,120,0,60,0,0,30767,0,12977,0,0,37,0,962,0,37,0,0,0,0,0,0,842,396,446,842,3,1,0,0,NA,0,NA,3,NA,1,NA,6,1,2,NA,0,0,NA,NA,0,NA,0,NA,NA,186,32,NA,NA,2390,2567,186,737,830,694,537,768,582,353,172,75,17,5,0,0,1,75,369,410,326,271,396,268,159,73,36,6,1,0,0,0,111,368,420,368,266,372,314,194,99,39,11,4,0,0,1,856,0,0
G1901850,1850,Iowa,190,Wayne,1850,Wayne,1365.27368316416,340,1,0,1,0,0,0,0,0,339,145,194,3,266,1126,3333,0,8400,1272,64,70,20,104,38,719,206,0,1309,18,2940,0,0,100,0,0,50,0,0,0,17,0,14415,222,0,0,3126,11,0,25,0,5,0,0,732,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,15,24,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,7,2,NA,NA,145,195,7,62,64,39,36,56,40,16,15,5,0,0,0,0,0,4,30,26,15,12,33,12,5,7,1,0,0,0,0,0,3,32,38,24,24,23,28,11,8,4,0,0,0,0,0,57,0,0
G1901910,1850,Iowa,190,Winneshiek,1910,Winneshiek,1787.44892078032,546,0,0,0,0,0,0,0,0,546,246,300,148,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,18,6,NA,NA,246,300,18,93,85,57,47,107,68,44,21,5,1,0,0,0,0,10,45,42,24,25,44,29,16,10,0,1,0,0,0,0,8,48,43,33,22,63,39,28,11,5,0,0,0,0,0,100,0,0
G2100010,1850,Kentucky,210,Adair,10,Adair,1285.4043348503,9898,108,49,59,1707,893,814,0,0,8083,3993,4090,6,1292,63746,145395,1010,660390,40547,3584,3257,577,5269,556,41886,15968,0,6070,0,165571,0,0,2618,12,0,28069,2200,163,27,607,0,537945,18537,341,7756,80536,2191,0,422,0,24266,509003,0,15938,0,24307,1,0,47,20,2774,1,47,0,0,0,0,0,0,1989,920,1069,1989,10,0,NA,NA,NA,0,0,NA,0,0,NA,10,0,3,NA,NA,0,NA,0,4,0,0,259,59,318,NA,147,39,4935,4963,318,1374,1620,1364,1152,1605,966,709,400,225,126,29,8,1,1,160,677,776,672,588,843,485,348,191,110,63,16,5,1,0,158,697,844,692,564,762,481,361,209,115,63,13,3,0,1,1513,0,0
G2100030,1850,Kentucky,210,Allen,30,Allen,903.703626206156,8742,43,22,21,1314,670,644,0,0,7385,3644,3741,9,1826,46188,105913,740,577532,34441,2833,2179,581,2985,987,29823,10633,0,10950,4,73319,0,0,1107,0,0,8974,383,0,28,115,2,411655,10148,214,6304,65206,333,451,206,12,13296,760806,0,9563,0,14945,0,0,32,0,931,0,33,0,0,0,0,0,0,1867,809,1058,1867,13,0,NA,NA,NA,0,0,NA,0,0,NA,9,0,2,NA,NA,0,NA,0,0,0,0,257,40,297,NA,62,24,4336,4406,297,1120,1417,1239,988,1470,896,614,362,190,100,36,9,3,1,131,547,654,610,484,779,461,304,195,93,57,16,4,0,1,166,573,763,629,504,691,435,310,167,97,43,20,5,3,0,1249,0,0
G2100050,1850,Kentucky,210,Anderson,50,Anderson,531.899438802582,6260,30,15,15,1282,627,655,0,0,4948,2415,2533,15,518,43208,35333,420,848029,35944,2139,1176,765,1987,232,17070,9026,300,10108,160,54709,0,0,1915,9,55,13798,563,0,171,724,25,338595,5376,567,1600,65041,846,0,7192,0,2243,14875,0,13258,36,18864,1,0,11,50,332,2,11,0,0,0,0,0,0,983,425,558,983,11,0,NA,NA,NA,0,0,NA,0,0,NA,5,0,2,NA,NA,0,NA,0,0,0,0,146,36,182,NA,74,34,3057,3203,182,840,1021,867,691,1080,641,411,286,149,63,19,10,0,0,98,419,481,397,362,526,310,206,140,70,35,10,3,0,0,84,421,540,470,329,554,331,205,146,79,28,9,7,0,0,883,0,1
G2100070,1850,Kentucky,210,Ballard,70,Ballard,1235.60748252432,5496,26,12,14,842,434,408,0,0,4628,2194,2434,14,1317,20876,87976,483,369761,23230,1582,1465,254,2460,566,20439,2015,0,7061,0,43043,0,0,325,0,0,7351,133,0,2,72,70,272550,10092,0,0,25280,1120,0,190,0,8473,152700,0,9141,0,3680,0,0,16,0,480,0,16,0,0,0,0,0,0,1138,556,582,1138,6,0,NA,NA,NA,0,0,NA,0,0,NA,4,0,0,NA,NA,0,NA,0,0,0,0,144,31,175,NA,49,10,2640,2856,175,790,936,790,616,993,544,357,173,83,32,7,0,0,0,89,358,462,385,295,493,261,175,70,38,11,3,0,0,0,86,432,474,405,321,500,283,182,103,45,21,4,0,0,0,775,0,1
G2100090,1850,Kentucky,210,Barren,90,Barren,1763.9530950565,20240,113,65,48,4584,2305,2279,0,0,15543,7688,7855,24,3102,117604,204564,1833,1322506,89689,7100,5588,783,7419,1493,65710,23923,0,17036,13,198234,0,4,2045,0,0,40936,2075,0,0,761,0,1007560,24767,410,8795,208393,1119,0,1851,24,33476,2155551,0,37097,0,40626,11,0,44,225,1067,11,45,0,0,1,0,0,0,2862,1328,1534,2861,30,5,NA,NA,NA,0,0,NA,0,0,NA,11,0,4,NA,NA,0,NA,0,1,0,0,530,132,662,NA,187,88,10058,10182,662,2822,3270,2765,2281,3316,2072,1368,808,544,245,73,9,3,2,336,1391,1607,1341,1192,1645,1009,682,414,264,129,38,7,3,0,326,1431,1663,1424,1089,1671,1063,686,394,280,116,35,2,0,2,2667,0,0
G2100110,1850,Kentucky,210,Bath,110,Bath,983.994954600368,12115,116,65,51,2535,1313,1222,0,0,9464,4655,4809,29,1030,108170,54783,1018,2739919,61132,4768,3091,1340,6213,1029,35058,16928,88,18398,51,114847,0,0,4562,3,142,11830,577,0,21,1606,16,1033990,15482,722,7824,91774,4582,0,8275,0,5729,9003,0,22043,0,39574,2,0,31,160,898,6,31,0,0,1,0,0,0,2121,963,1158,2120,11,0,NA,NA,NA,0,0,NA,0,0,NA,3,3,3,NA,NA,0,NA,0,2,0,0,311,78,389,NA,134,36,6033,6082,389,1729,1892,1698,1337,2018,1225,829,512,279,143,46,12,2,4,207,858,928,846,707,980,592,406,244,156,78,23,5,2,1,182,871,964,852,630,1038,633,423,268,123,65,23,7,0,3,1595,0,0
G2100150,1850,Kentucky,210,Boone,150,Boone,671.944419555751,11185,37,20,17,2104,1076,1028,0,0,9044,4270,4774,267,2039,92910,65369,982,4036145,96367,4592,3196,159,5964,705,49446,15294,578,15760,247,169425,0,0,815,4,2,19074,271,0,77,2943,24,1056650,27459,314,898,62719,2840,0,14352,0,5946,298152,0,71749,221,35027,1,0,26,70,650,2,26,0,0,2,0,0,0,1824,916,908,1822,18,0,NA,NA,NA,0,0,NA,0,1,NA,6,0,2,NA,NA,0,NA,0,0,0,1,269,64,333,NA,166,66,5366,5819,333,1394,1702,1520,1259,1982,1205,839,533,258,115,35,7,3,0,151,704,828,735,620,910,562,400,241,132,60,16,6,1,0,182,690,874,785,639,1072,643,439,292,126,55,19,1,2,0,1615,0,1
G2100170,1850,Kentucky,210,Bourbon,170,Bourbon,755.339562190349,14466,245,138,107,7066,3433,3633,0,0,7155,3395,3760,343,789,168891,1111,734,7786621,114829,6683,4031,5219,12462,903,39492,25288,540,26328,58,196145,0,0,3946,0,1138,7148,406,0,231,2905,136,1705599,20505,72,200,180582,3675,0,9915,2,4960,0,64,78133,0,78621,4,0,9,175,281,14,9,0,0,7,2,1,1,1230,572,658,1225,3,9,NA,NA,NA,1,0,NA,0,0,NA,6,0,8,NA,NA,0,NA,0,0,0,1,166,196,362,NA,174,181,6966,7500,362,1848,2148,1998,1659,2636,1617,1022,614,369,124,57,8,4,0,196,933,1058,1003,798,1227,692,471,289,197,58,36,7,1,0,166,915,1090,995,861,1409,925,551,325,172,66,21,1,3,0,1348,0,0
G2100210,1850,Kentucky,210,Boyle,210,Boyle,474.507524577989,9116,317,154,163,3424,1701,1723,0,0,5375,2598,2777,73,696,53717,43151,443,2356839,53390,3162,1922,2702,6186,450,22499,13552,133,17346,1173,84960,0,0,5297,165,292,17341,593,0,60,2062,30,689780,14883,489,2560,103346,2801,0,10844,38,5521,1600,15,23907,22,29931,4,1,18,234,658,10,18,6,165,0,76,41,35,1244,553,691,1320,3,2,NA,NA,NA,1,0,NA,0,0,NA,4,1,4,NA,NA,0,NA,0,1,0,0,168,91,259,NA,81,72,4453,4663,259,1189,1396,1220,1091,1563,949,618,428,257,108,34,4,0,0,138,590,695,598,531,734,446,312,197,134,55,20,3,0,0,121,599,701,622,560,829,503,306,231,123,53,14,1,0,0,927,0,0
G2100230,1850,Kentucky,210,Bracken,230,Bracken,617.565921230359,8903,114,57,57,840,424,416,0,0,7949,3794,4155,158,1201,41196,48436,728,1085670,49268,2584,1684,58,1667,220,15969,6265,746,1357,273,102186,0,0,0,10,5,1675,187,0,6,1420,0,370025,10491,20,547,52818,6,0,6441,40,1611,2129370,0,27410,685,13550,0,0,20,0,500,0,20,0,0,3,0,0,0,853,371,482,850,6,0,NA,NA,NA,0,3,NA,0,0,NA,4,0,2,NA,NA,0,NA,0,0,0,0,239,21,260,NA,105,16,4275,4628,260,1170,1370,1205,1023,1549,953,641,383,214,102,30,1,2,0,134,531,685,575,497,737,472,298,184,101,51,8,1,1,0,126,639,685,630,526,812,481,343,199,113,51,22,0,1,0,1437,0,1
